App源码文件路径,行号,函数名称,描述
input/app/NewsData/entry/src/main/ets/view/CustomRefreshLoadLayout.ets,26,build,ArkUI 组件的 UI 构建入口函数
input/app/NewsData/entry/src/main/ets/view/LoadMoreLayout.ets,26,build,ArkUI 组件的 UI 构建入口函数
input/app/NewsData/entry/src/main/ets/view/NewsItem.ets,26,build,ArkUI 组件的 UI 构建入口函数
input/app/NewsData/entry/src/main/ets/view/NewsList.ets,61,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/NewsData/entry/src/main/ets/view/NewsList.ets,66,build,ArkUI 组件的 UI 构建入口函数
input/app/NewsData/entry/src/main/ets/view/NoMoreLayout.ets,23,build,ArkUI 组件的 UI 构建入口函数
input/app/NewsData/entry/src/main/ets/view/RefreshLayout.ets,26,build,ArkUI 组件的 UI 构建入口函数
input/app/NewsData/entry/src/main/ets/view/TabBar.ets,41,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/NewsData/entry/src/main/ets/view/TabBar.ets,50,build,ArkUI 组件的 UI 构建入口函数
input/app/NewsData/entry/src/main/ets/pages/Index.ets,26,build,ArkUI 组件的 UI 构建入口函数
input/app/NewsData/entry/src/main/ets/entryability/EntryAbility.ets,21,onCreate,UIAbility 创建时触发的生命周期函数
input/app/NewsData/entry/src/main/ets/entryability/EntryAbility.ets,28,onDestroy,UIAbility 销毁时触发的生命周期函数
input/app/NewsData/entry/src/main/ets/entryability/EntryAbility.ets,33,onWindowStageCreate,WindowStage 创建时触发的生命周期函数
input/app/NewsData/entry/src/main/ets/entryability/EntryAbility.ets,49,onWindowStageDestroy,WindowStage 销毁时触发的生命周期函数
input/app/NewsData/entry/src/main/ets/entryability/EntryAbility.ets,55,onForeground,UIAbility 切换到前台时触发的生命周期函数
input/app/NewsData/entry/src/main/ets/entryability/EntryAbility.ets,61,onBackground,UIAbility 切换到后台时触发的生命周期函数
